dates,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,District of Columbia,National
2022-10-01,2.6,3.8,4.1,3.5,4.1,2.8,4,4.7,2.7,3.1,3.7,2.8,4.6,3.2,3.1,3,4,3.6,3.1,3.2,3.8,4.4,3,4.1,2.7,2.7,2.7,5.5,2.9,3.3,3.5,4.2,3.9,2.1,4.2,3.2,4.8,4.4,3.4,3.3,2.2,3.5,3.9,2.4,3.1,3.1,4.6,4.1,3,3.9,4.2,3.6
2022-11-01,2.6,3.7,4,3.5,4.1,2.8,4,4.7,2.7,3.1,3.7,2.8,4.6,3.2,3.1,2.9,3.9,3.6,3.1,3.1,3.7,4.4,3,4.1,2.7,2.7,2.7,5.5,2.9,3.3,3.5,4.1,3.9,2.1,4.1,3.2,4.8,4.4,3.3,3.3,2.2,3.5,3.8,2.4,3.1,3.2,4.6,4.1,3,3.9,4.2,3.6
2022-12-01,2.6,3.7,4,3.4,4.1,2.8,4,4.6,2.7,3.1,3.7,2.8,4.6,3.1,3,2.9,3.9,3.5,3.1,3,3.7,4.3,2.9,4,2.7,2.6,2.7,5.5,2.9,3.3,3.5,4.1,3.8,2.1,4.1,3.2,4.8,4.3,3.2,3.3,2.2,3.5,3.8,2.4,3,3.1,4.5,4.1,3,3.9,4.2,3.5
2023-01-01,2.6,3.8,3.8,3.4,4.2,2.8,3.9,4.6,2.6,3.1,3.6,2.7,4.5,3.1,3,2.9,3.9,3.5,2.9,3,3.5,4.3,2.9,3.9,2.7,2.5,2.5,5.5,2.8,3.4,3.5,4.2,3.8,2.1,4,3.1,4.8,4.3,3.1,3.2,2.1,3.5,3.9,2.4,2.9,3.2,4.6,3.9,2.9,3.9,4.5,3.4
2023-02-01,2.5,3.8,3.7,3.2,4.4,2.9,4,4.6,2.6,3.1,3.6,2.6,4.5,3.1,2.9,2.9,3.9,3.6,2.8,2.9,3.7,4.3,3,3.7,2.6,2.4,2.3,5.5,2.7,3.5,3.6,4.2,3.6,2.1,3.9,3,4.7,4.4,3.1,3.2,2.1,3.5,4,2.4,2.8,3.2,4.6,3.7,2.7,3.8,4.7,3.6
2023-03-01,2.3,3.7,3.5,3,4.4,2.8,3.9,4.4,2.6,3.1,3.5,2.6,4.4,3.1,2.8,2.9,3.8,3.6,2.6,2.7,3.5,4.1,2.8,3.5,2.5,2.3,2.1,5.5,2.4,3.5,3.5,4.1,3.5,2.1,3.8,3,4.4,4.2,3.1,3.2,1.9,3.4,4,2.4,2.7,3.2,4.5,3.4,2.5,3.7,4.8,3.5
2023-04-01,2.2,3.7,3.4,2.8,4.5,2.8,3.8,4.3,2.6,3.1,3.3,2.6,4.2,3,2.7,2.9,3.7,3.6,2.4,2.5,3.1,3.8,2.8,3.4,2.5,2.3,2,5.4,2.1,3.5,3.5,4,3.4,2.1,3.7,2.9,4,4.1,3,3.1,1.9,3.3,4,2.3,2.4,3.1,4.3,3.3,2.4,3.5,5,3.4
2023-05-01,2.2,3.6,3.4,2.7,4.5,2.8,3.7,4.2,2.6,3.2,3.1,2.6,4.1,3.1,2.7,2.9,3.8,3.6,2.4,2.4,2.8,3.7,2.9,3.2,2.5,2.3,1.9,5.4,1.9,3.6,3.5,3.9,3.4,2.1,3.6,2.8,3.7,4,3,3.1,1.9,3.3,4.1,2.3,2.1,2.9,4.1,3.3,2.4,3.3,5.1,3.7
2023-06-01,2.2,3.7,3.5,2.6,4.6,2.8,3.7,4.2,2.6,3.2,3,2.7,4,3.2,2.7,2.8,3.8,3.6,2.4,2,2.6,3.6,2.9,3.1,2.6,2.4,1.9,5.4,1.8,3.7,3.5,3.9,3.3,2,3.4,2.7,3.5,3.8,2.9,3.1,1.8,3.2,4.1,2.4,1.9,2.7,3.8,3.3,2.5,3.1,5.1,3.6
2023-07-01,2.1,3.8,3.6,2.6,4.6,2.9,3.6,4.1,2.7,3.2,2.8,2.8,4,3.3,2.7,2.7,3.9,3.4,2.4,1.8,2.5,3.6,3,3,2.7,2.5,2,5.3,1.7,3.9,3.6,3.9,3.3,2,3.3,2.7,3.4,3.5,2.8,3.1,1.9,3.1,4.1,2.4,1.8,2.5,3.6,3.4,2.6,3,5,3.5
2023-08-01,2.1,3.9,3.8,2.7,4.6,3.1,3.5,4.1,2.7,3.3,2.8,3,4.1,3.4,2.9,2.7,4,3.3,2.5,1.7,2.6,3.7,3.1,3.2,2.8,2.5,2,5.4,1.8,4.2,3.7,3.9,3.3,1.9,3.4,2.8,3.4,3.5,2.7,3,1.9,3.1,4.1,2.5,1.8,2.5,3.6,3.6,2.9,2.9,5,3.8
2023-09-01,2.2,4.1,4,2.9,4.7,3.2,3.5,4.1,2.8,3.4,2.8,3.1,4.4,3.6,3,2.8,4.1,3.3,2.7,1.6,2.6,3.9,3.1,3.2,2.9,2.7,2.1,5.4,2,4.4,3.7,4,3.4,1.9,3.4,3,3.5,3.4,2.6,2.9,1.9,3.2,4.1,2.6,1.9,2.5,3.6,3.8,3.1,2.9,5,3.8
2023-10-01,2.3,4.3,4.2,3.1,4.8,3.3,3.5,4.2,2.8,3.4,2.9,3.2,4.6,3.6,3.2,2.9,4.2,3.3,2.8,1.7,2.8,4.1,3.2,3.3,3.1,2.8,2.2,5.4,2.1,4.6,3.8,4.2,3.4,1.9,3.6,3.2,3.6,3.4,2.7,2.9,2,3.3,4.1,2.7,2,2.7,3.8,4,3.2,2.9,5,3.8
2023-11-01,2.4,4.4,4.3,3.3,4.9,3.3,3.6,4.2,2.9,3.4,2.9,3.3,4.7,3.7,3.3,2.9,4.3,3.5,3,1.8,2.9,4.3,3.1,3.3,3.2,3,2.3,5.4,2.3,4.7,3.9,4.3,3.5,1.9,3.6,3.3,3.6,3.4,2.9,3,2,3.5,4.1,2.8,2.1,2.9,4,4.2,3.3,3,5,3.7
2023-12-01,2.6,4.5,4.3,3.4,5.1,3.4,3.8,4.2,3,3.4,2.9,3.3,4.8,3.6,3.2,2.8,4.3,3.7,3.2,1.9,3.2,4.3,2.9,3.3,3.3,3.2,2.3,5.4,2.5,4.8,4,4.5,3.5,1.9,3.7,3.4,3.7,3.5,3.2,3,2,3.5,4,2.8,2.2,3,4.2,4.3,3.3,3,5.1,3.7
2024-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7
